,,,,,,,,,,
Type(number),Type (file name),Date,Authors (full name),Authors (initials),Title,Reference (text),Link (text),Link (http),2nd Link (text),2nd Link (http)
5,old-systems,2013-03-13,"J.D. Vieira, D.P. Marrone, S.C. Chapman, C. De Breuck, Y.D. Hezaveh, A. Weiss, J.E. Aguirre, K.A. Aird, M. Aravena, M.L.N. Ashby, M. Bayliss, B.A. Benson, A.D. Biggs, L.E. Bleem, J.J. Bock, M. Bothwell, C.M. Bradford, M. Brodwin, J.E. Carlstrom, C.L. Chang, T.M. Crawford, A.T. Crites, T. de Haan, M.A. Dobbs, E.B. Fomalont, C.D. Fassnacht, E.M. George, M.D. Gladders, A.H. Gonzalez, T.R. Greve, B. Gullberg, N.W. Halverson, F.W. High, G.P. Holder, W.L. Holzapfel, S. Hoover, J.D. Hrubes, T.R. Hunter, R. Keisler, A.T. Lee, E.M. Leitch, M. Lueker, D. Luong-Van, M. Malkan, V. McIntyre, J.J. McMahon, J. Mehl, K.M. Menten, S.S. Meyer, L.M. Mocanu, E.J. Murphy, T. Natoli, S. Padin, T. Plagge, C.L. Reichardt, A. Rest, J. Ruel, J.E. Ruhl, K. Sharon, K.K. Schaffer, L. Shaw, E. Shirokoff, J.S. Spilker, B. Stalder, Z. Staniszewski1, A.A. Stark, K. Story, K. Vanderlinde, N. Welikala, R. Williamson","J.D. Vieira, D.P. Marrone, S.C. Chapman, C. De Breuck, Y.D. Hezaveh, A. Weiss, J.E. Aguirre, K.A. Aird, M. Aravena, M.L.N. Ashby, M. Bayliss, B.A. Benson, A.D. Biggs, L.E. Bleem, J.J. Bock, M. Bothwell, C.M. Bradford, M. Brodwin, J.E. Carlstrom, C.L. Chang, T.M. Crawford, A.T. Crites, T. de Haan, M.A. Dobbs, E.B. Fomalont, C.D. Fassnacht, E.M. George, M.D. Gladders, A.H. Gonzalez, T.R. Greve, B. Gullberg, N.W. Halverson, F.W. High, G.P. Holder, W.L. Holzapfel, S. Hoover, J.D. Hrubes, T.R. Hunter, R. Keisler, A.T. Lee, E.M. Leitch, M. Lueker, D. Luong-Van, M. Malkan, V. McIntyre, J.J. McMahon, J. Mehl, K.M. Menten, S.S. Meyer, L.M. Mocanu, E.J. Murphy, T. Natoli, S. Padin, T. Plagge, C.L. Reichardt, A. Rest, J. Ruel, J.E. Ruhl, K. Sharon, K.K. Schaffer, L. Shaw, E. Shirokoff, J.S. Spilker, B. Stalder, Z. Staniszewski1, A.A. Stark, K. Story, K. Vanderlinde, N. Welikala, R. Williamson",Dusty starburst galaxies in the early Universe as revealed by gravitational lensing,"Nature 495, p. 344, 2013",doi: 10.1038/nature12001,https://doi.org/10.1038/nature12001,arXiv:1303.2723,https://arxiv.org/abs/1303.2723
5,old-systems,2016-08-25,"Yoshiki Matsuoka, Masafusa Onoue, Nobunari Kashikawa, Kazushi Iwasawa, Michael A. Strauss, Tohru Nagao, Masatoshi Imanishi, Mana Niida, Yoshiki Toba, Masayuki Akiyama, Naoko Asami, James Bosch, Sébastien Foucaud, Hisanori Furusawa, Tomotsugu Goto, James E. Gunn, Yuichi Harikane, Hiroyuki Ikeda, Toshihiro Kawaguchi, Satoshi Kikuta, Yutaka Komiyama, Robert H. Lupton, Takeo Minezaki, Satoshi Miyazaki, Tomoki Morokuma, Hitoshi Murayama, Atsushi J. Nishizawa, Yoshiaki Ono, Masami Ouchi, Paul A. Price, Hiroaki Sameshima, John D. Silverman, Naoshi Sugiyama, Philip J. Tait, Masahiro Takada, Tadafumi Takata, Masayuki Tanaka, Ji-Jia Tang, Yousuke Utsumi","Y. Matsuoka, M. Onoue, N. Kashikawa, K. Iwasawa, M.A. Strauss, T. Nagao, M. Imanishi, M. Niida, Y. Toba, M. Akiyama, N. Asami, J. Bosch, S. Foucaud, H. Furusawa, T. Goto, J.E. Gunn, Y. Harikane, H. Ikeda, T. Kawaguchi, S. Kikuta, Y. Komiyama, R.H. Lupton, T. Minezaki, S. Miyazaki, T. Morokuma, H. Murayama, A.J. Nishizawa, Y. Ono, M. Ouchi, P.A. Price, H. Sameshima, J.D. Silverman, N.Sugiyama, P.J. Tait, M. Takada, T. Takata, M. Tanaka, J.-J. Tang, Y. Utsumi",SUBARU High-z Exploration of Low-Luminosity Quasars (SHELLQs). I. Discovery of 15 Quasars and Bright Galaxies at 5.7 < z < 6.9,"The Astrophysical Journal 828, Number 1, 2016",doi: 10.3847/0004-637X/828/1/26,https://doi.org/10.3847/0004-637X/828/1/26,,
1,redshift,2019-11-08,"Alberto Domínguez, Radoslaw Wojtak, Justin Finke, Marco Ajello, Kari Helgason, Francisco Prada, Abhishek Desai, Vaidehi Paliya, Lea Marcotulli, Dieter Hartmann","A. Domínguez, R. Wojtak, J. Finke, M. Ajello, K. Helgason, F. Prada, A. Desai, V. Paliya, L. Marcotulli, D.H. Hartmann",A New Measurement of the Hubble Constant and Matter Content of the Universe Using Extragalactic Background Light γ-Ray Attenuation,"The Astrophysical Journal, Volume 885, Number 2, Nov. 8, 2019",doi: 10.3847/1538-4357/ab4a0e,https://doi.org/10.3847/1538-4357/ab4a0e,arXiv:1903.12097,https://arxiv.org/abs/1903.12097
6,cosmology,2019-11-04,"Eleonora Di Valentino, Alessandro Melchiorri, Joseph Silk","E. Di Valentino, A. Melchiorri, J. Silk",Planck evidence for a closed Universe and a possible crisis for cosmology,"Nature Astronomy Nov. 4, 2019",doi: 10.1038/s41550-019-0906-9,https://doi.org/10.1038/s41550-019-0906-9,arXiv:1911.02087,https://arxiv.org/abs/1911.02087
4,galaxy and structure formation,2019-11-20,"Jacques Colin, Roya Mohayaee, Mohamed Rameez, Subir Sarkar","J. Colin, R. Mohayaee, M. Rameez, S. Sarkar",Evidence for anisotropy of cosmic acceleration,"Astronomy and Astrophysics 631, L13, 2019",doi: 10.1051/0004-6361/201936373,https://doi.org/10.1051/0004-6361/201936373,arXiv:1808.04597,https://arxiv.org/abs/1808.04597
4,galaxy and structure formation,2019-09-12,Juan D. Soler,J.D. Soler,Using Herschel and Planck observations to delineate the role of magnetic fields in molecular cloud structure,"Astronomy & Astrophysics, Volume 629, September 2019",doi: 10.1051/0004-6361/201935779,https://doi.org/10.1051/0004-6361/201935779,arXiv:1909.04862,https://arxiv.org/abs/1909.04862
4,galaxy and structure formation,2019-08-23,"Marina Kounkel, Kevin Covey","M. Kounkel, K. Covey",Untangling the Galaxy. I. Local Structure and Star Formation History of the Milky Way,"The Astronomical Journal 158, Number 3, 2019",doi: 10.3847/1538-3881/ab339a,https://doi.org/10.3847/1538-3881/ab339a,arXiv:1907.07709,https://arxiv.org/abs/1907.07709
4,galaxy and structure formation,2019-11-26,"Silvia Carolina Mora-Partiarroyo, Marita Krause, Aritra Basu, Rainer Beck, Theresa Wiegert, Judith Irwin, Richard Henriksen, Yelena Stein, Carlos J. Vargas, Volker Heesen, René A. M. Walterbos, Richard J. Rand, George Heald, Jiangtao Li, Patrick Kamieneski, Jayanne English","S.C. Mora-Partiarroyo, M. Krause, A. Basu, R. Beck, T. Wiegert, J. Irwin, R. Henriksen, Y. Stein, C.J. Vargas, V. Heesen, R.A.M. Walterbos, R.J. Rand, G. Heald, J. Li, P. Kamieneski, J. English",XV. Large-scale magnetic field reversals in the radio halo of NGC 4631,"Astronomy & Astrophysics 632, A11, December 2019",doi: 10.1051/0004-6361/201935961,https://doi.org/10.1051/0004-6361/201935961,,
5,old-systems,2019-11-06,"Masayuki Tanaka, Francesco Valentino, Sune Toft, Masato Onodera, Rhythm Shimakawa, Daniel Ceverino, Andreas L. Faisst, Anna Gallazzi, Carlos Gómez-Guijarro, Mariko Kubo, Georgios E. Magdis, Charles L. Steinhardt, Mikkel Stockmann, Kiyoto Yabe, Johannes Zabl","M. Tanaka, F. Valentino, S. Toft, M. Onodera, R. Shimakawa, D. Ceverino, A.L. Faisst, A. Gallazzi, C. Gómez-Guijarro, M. Kubo, G.E. Magdis, C.L. Steinhardt, M. Stockmann, K. Yabe, J. Zabl",Stellar Velocity Dispersion of a Massive Quenching Galaxy at z = 4.01,"The Astrophysical Journal Letters 885, Number 2, L34, 2019",doi: 10.3847/2041-8213/ab4ff3,https://doi.org/10.3847/2041-8213/ab4ff3,arXiv:1909.10721,https://arxiv.org/abs/1909.10721
4,galaxy and structure formation,2019-08-19,Václav Vavryčuk,V. Vavryčuk,Universe opacity and Type Ia supernova dimming,"Monthly Notices of the Royal Astronomical Society: Letters, Volume 489, Issue 1, p. L63, October 2019",doi: 10.1093/mnrasl/slz128,https://doi.org/10.1093/mnrasl/slz128,,
5,old-systems,2019-12-19,"Emanuele Paolo Farina, Fabrizio Arrigoni-Battaia, Tiago Costa, Fabian Walter, Joseph F. Hennawi, Alyssa B. Drake, Roberto Decarli, Thales A. Gutcke, Chiara Mazzucchelli, Marcel Neeleman, Iskren Georgiev, Anna-Christina Eilers, Frederick B. Davies, Eduardo Bañados, Xiaohui Fan, Masafusa Onoue, Jan-Torge Schindler, Bram P. Venemans, Feige Wang, Jinyi Yang, Sebastian Rabien, Lorenzo Busoni","E.P. Farina, F. Arrigoni-Battaia, T. Costa, F. Walter, J.F. Hennawi, A.B. Drake, R. Decarli, T.A. Gutcke, C. Mazzucchelli, M. Neeleman, I. Georgiev, A.-C. Eilers, F.B. Davies, E. Bañados, X. Fan, M. Onoue, J.-T. Schindler, B.P. Venemans, F. Wang, J. Yang, S. Rabien, L. Busoni",The REQUIEM Survey. I. A Search for Extended Lyα Nebular Emission Around 31 z > 5.7 Quasars,"The Astrophysical Journal 887, Number 2, 2019",doi: 10.3847/1538-4357/ab5847,https://doi.org/10.3847/1538-4357/ab5847,arXiv:1911.08498,https://arxiv.org/abs/1911.08498
5,old-systems,2015-07-10,"Benny Trakhtenbrot, C. Megan Urry, Francesca Civano, David J. Rosario, Martin Elvis, Kevin Schawinski, Hyewon Suh, Angela Bongiorno, Brooke D. Simmons","B. Trakhtenbrot, C.M. Urry, F. Civano, D.J. Rosario, M. Elvis, K. Schawinski, H. Suh, A. Bongiorno, B.D. Simmons","An over-massive black hole in a typical star-forming galaxy, 2 billion years after the Big Bang","Science, Vol. 349, Issue 6244, p. 168, 2015",DOI: 10.1126/science.aaa4506,https://science.sciencemag.org/content/349/6244/168,,
5,old-systems,2019-07-17,"Takuya Hashimoto, Akio K. Inoue, Ken Mawatari, Yoichi Tamura, Hiroshi Matsuo, Hisanori Furusawa, Yuichi Harikane, Takatoshi Shibuya, Kirsten K. Knudsen, Kotaro Kohno, Yoshiaki Ono, Erik Zackrisson, Takashi Okamoto, Nobunari Kashikawa, Pascal A. Oesch, Masami Ouchi, Kazuaki Ota, Ikkoh Shimizu, Yoshiaki Taniguchi, Hideki Umehata, Darach Watson","T. Hashimoto, A.K. Inoue, K. Mawatari, Y. Tamura, H. Matsuo, H. Furusawa, Y. Harikane, T. Shibuya, K.K. Knudsen, K. Kohno, Y. Ono, E. Zackrisson, T. Okamoto, N. Kashikawa, P.A. Oesch, M. Ouchi, K. Ota, I. Shimizu, Y. Taniguchi, H. Umehata, D. Watson","""Big Three Dragons"": a z = 7.15 Lyman BreakGalaxy Detected in [OIII] 88 μm, [CII] 158 μm, and Dust Continuum with ALMA","Publications of the Astronomical Society of Japan, Volume 71, Issue 4, 71, August 2019",doi: 10.1093/pasj/psz049,https://doi.org/10.1093/pasj/psz049,arXiv:1806.00486,https://arxiv.org/abs/1806.00486
5,old-systems,2019-11-25,"Qi Guo, Huijie Hu, Zheng Zheng, Shihong Liao, Wei Du, Shude Mao, Linhua Jiang, Jing Wang, Yingjie Peng, Liang Gao, Jie Wang, Hong Wu","Q. Guo, H. Hu, Z. Zheng, S. Liao, W. Du, S. Mao, L. Jiang, J. Wang, Y. Peng, L. Gao, J. Wang, H. Wu",Further evidence for a population of dark-matter-deficient dwarf galaxies,"Nature Astronomy, doi:10.1038/s41550-019-0930-9 2019",doi: 10.1038/s41550-019-0930-9,https://doi.org/10.1038/s41550-019-0930-9,arXiv:1908.00046,https://arxiv.org/abs/1908.00046
4,galaxy and structure formation,2019-10-23,"Omkar Bait, Sushma Kurapati, Pierre-Alain Duc, Jean-Charles Cuillandre, Yogesh Wadadekar, Peter Kamphuis, Sudhanshu Barway","O. Bait, S. Kurapati, P.-A. Duc, J.-C. Cuillandre, Y. Wadadekar, P. Kamphuis, S. Barway",Discovery of a large HI ring around the quiescent galaxy AGC 203001,"Monthly Notices of the Royal Astronomical Society, Volume 492, Issue 1, p. 1, February 2020",doi: 10.1093/mnras/stz2972,https://doi.org/10.1093/mnras/stz2972,arXiv:1910.08794,https://arxiv.org/abs/1910.08794
4,galaxy and structure formation,2019-12-10,"Yijung Kang, Young-Wook Lee, Young-Lo Kim, Chul Chung, Chang Hee Ree","Y. Kang, Y.-W. Lee, Y.-L. Kim, C. Chung, C.H. Ree",Early-type Host Galaxies of Type Ia Supernovae. II. Evidence for Luminosity Evolution in Supernova Cosmology,arXiv:1912.04903,arXiv:1912.04903,https://arxiv.org/abs/1912.04903,,
5,old-systems,2020-01-01,"J.P. Willis, R.E.A. Canning, E.S. Noordeh, S.W. Allen, A.L. King, A. Mantz, R.G. Morris, S.A. Stanford, G. Brammer","J.P. Willis, R.E.A. Canning, E.S. Noordeh, S.W. Allen, A.L. King, A. Mantz, R.G. Morris, S.A. Stanford, G. Brammer",Spectroscopic confirmation of a mature galaxy cluster at a redshift of 2,"Nature 577, p. 39 (2020)",doi: 10.1038/s41586-019-1829-4,https://doi.org/10.1038/s41586-019-1829-4,arXiv:2001.00549,https://arxiv.org/abs/2001.00549
1,redshift,2020-01-02,"A.A. Miller, Y. Yao, M. Bulla, E.C. Bellm, S.B. Cenko, R. Dekany, C. Fremling, M.J. Graham, T. Kupfer, R.R. Laher, A.A. Mahabal, F.J. Masci, P.E. Nugent, R. Riddle, B. Rusholme, R.M. Smith, D.L. Shupe, J. van Roestel, S.R. Kulkarni","A.A. Miller, Y. Yao, M. Bulla, E.C. Bellm, S.B. Cenko, R. Dekany, C. Fremling, M.J. Graham, T. Kupfer, R.R. Laher, A.A. Mahabal, F.J. Masci, P.E. Nugent, R. Riddle, B. Rusholme, R.M. Smith, D.L. Shupe, J. van Roestel, S.R. Kulkarni","ZTF Early Observations of Type Ia Supernovae II: First Light, the Initial Rise, and Time to Reach Maximum Brightness",arXiv:2001.00598,arXiv:2001.00598,https://arxiv.org/abs/2001.00598,,
1,redshift,2019-12-30,"Levente Borvák, Attila Mészáros, Jakub Řípa","L. Borvák, A. Mészáros, J. Řípa",The analogy of K-correction in the topic of gamma-ray bursts,"Proceedings of the International Astronomical Union, 14(S346) p. 380 (2018)",doi: 10.1017/S1743921318008025,https://doi.org/10.1017/S1743921318008025,arXiv:2001.00932,https://arxiv.org/abs/2001.00932
1,redshift,2019-12-18,Adam G. Riess,A.G. Riess,The Expansion of the Universe is Faster than Expected,"Nature Reviews Physics volume 2, p. 10 (2020)",doi: 10.1038/s42254-019-0137-0,https://dx.doi.org/10.1038/s42254-019-0137-0,arXiv:2001.03624,https://arxiv.org/abs/2001.03624
5,old-systems,2019-10-31,"Eduardo Bañados, Michael Rauch, Roberto Decarli, Emanuele P. Farina, Joseph F. Hennawi, Chiara Mazzucchelli, Bram P. Venemans, Fabian Walter, Robert A. Simcoe, J. Xavier Prochaska, Thomas Cooper, Frederick B. Davies, Shi-Fan S. Chen","E. Bañados, M. Rauch, R. Decarli, E.P. Farina, J.F. Hennawi, C. Mazzucchelli, B.P. Venemans, F. Walter, R.A. Simcoe, J.X. Prochaska, T. Cooper, F.B. Davies, S.-F.S. Chen",A Metal-poor Damped Lyα System at Redshift 6.4,"The Astrophysical Journal 885, Number 1, 2019",doi: 10.3847/1538-4357/ab4129,https://doi.org/10.3847/1538-4357/ab4129,arXiv:1903.06186,https://arxiv.org/abs/1903.06186
1,redshift,2015-05-15,"Joseph F. Hennawi, J. Xavier Prochaska, Sebastiano Cantalupo, Fabrizio Arrigoni-Battaia","J.F. Hennawi, J.X. Prochaska, S. Cantalupo, F. Arrigoni-Battaia",Quasar quartet embedded in giant nebula reveals rare massive structure in distant universe,"Science 348, Issue 6236, p. 779, 2015",doi: 10.1126/science.aaa5397,https://dx.doi.org/10.1126/science.aaa5397,arXiv:1505.03786,https://arxiv.org/abs/1505.03786
4,galaxy and structure formation,2020-02-01,James Q. Feng,J.Q. Feng,Rotating Disk Galaxies without Dark Matter Based on Scientific Reasoning,"Galaxies 8(1), 9, 2020",doi:10.3390/galaxies8010009,https://doi.org/10.3390/galaxies8010009,,
4,galaxy and structure formation,2016-12-02,"B.H.C. Emonts, M.D. Lehnert, M. Villar-Martín, R.P. Norris, R.D. Ekers, G.A. van Moorse, H. Dannerbauer, L. Pentericci, G.K. Miley, J.R. Allison, E.M. Sadler, P. Guillard, C.L. Carilli, M.Y. Mao, H.J.A. Röttgering, C. De Breuck, N. Seymour, B. Gullberg, D. Ceverino, P. Jagannathan, J. Vernet, B. T. Indermuehle","B.H.C. Emonts, M.D. Lehnert, M. Villar-Martín, R.P. Norris, R.D. Ekers, G.A. van Moorse, H. Dannerbauer, L. Pentericci, G.K. Miley, J.R. Allison, E.M. Sadler, P. Guillard, C.L. Carilli, M.Y. Mao, H.J.A. Röttgering, C. De Breuck, N. Seymour, B. Gullberg, D. Ceverino, P. Jagannathan, J. Vernet, B. T. Indermuehle",Molecular gas in the halo fuels the growth of a massive cluster galaxy at high redshift,"Science 354, Issue 6316, p. 1128, 2016",10.1126/science.aag0512,https://dx.doi.org/10.1126/science.aag0512,arXiv:1612.00387,https://arxiv.org/abs/1612.00387
6,cosmology,2020-01-13,"Mohammadtaher Safarzadeh, Enrico Ramirez-Ruiz, Edo Berger","M. Safarzadeh, E. Ramirez-Ruiz, E. Berger",GW190425 is inconsistent with being a binary neutron star born from a fast merging channel,arXiv:2001.04502,arXiv:2001.04502,https://arxiv.org/abs/2001.04502,,
4,galaxy and structure formation,2020-02-26,"Nils Wittenburg, Pavel Kroupa, Benoit Famaey","N. Wittenburg, P. Kroupa, B. Famaey",The Formation of Exponential Disk Galaxies in MOND,"The Astrophysical Journal 890, Number 2, 2020",doi: 10.3847/1538-4357/ab6d73,https://doi.org/10.3847%2F1538-4357%2Fab6d73,arXiv:2002.01941,https://arxiv.org/abs/2002.01941
6,cosmology,2020-02-28,"C. Abel, S. Afach, N.J. Ayres, C.A. Baker, G. Ban, G. Bison, K. Bodek, V. Bondar, M. Burghoff, E. Chanel, Z. Chowdhuri, P.-J. Chiu, B. Clement, C.B. Crawford, M. Daum, S. Emmenegger, L. Ferraris-Bouchez, M. Fertl, P. Flaux, B. Franke, A. Fratangelo, P. Geltenbort, K. Green, W.C. Griffith, M. van der Grinten, Z.D. Grujić, P.G. Harris, L. Hayen, W. Heil, R. Henneck, V. Hélaine, N. Hild, Z. Hodge, M. Horras, P. Iaydjiev, S.N. Ivanov, M. Kasprzak, Y. Kermaidic, K. Kirch, A. Knecht, P. Knowles, H.-C. Koch, P.A. Koss, S. Komposch, A. Kozela, A. Kraft, J. Krempel, M. Kuźniak, B. Lauss, T. Lefort, Y. Lemière, A. Leredde, P. Mohanmurthy, A. Mtchedlishvili, M. Musgrave, O. Naviliat-Cuncic, D. Pais, F.M. Piegsa, E. Pierre, G. Pignol, C. Plonka-Spehr, P.N. Prashanth, G. Quéméner, M. Rawlik, D. Rebreyend, I. Rienäcker, D. Ries, S. Roccia, G. Rogel, D. Rozpedzik, A. Schnabel, P. Schmidt-Wellenburg, N. Severijns, D. Shiers, R. Tavakoli Dinani, J.A. Thorne, R. Virot, J. Voigt, A. Weis, E. Wursten, G. Wyszynski, J. Zejma, J. Zenner, G. Zsigmond","C. Abel, S. Afach, N.J. Ayres, C.A. Baker, G. Ban, G. Bison, K. Bodek, V. Bondar, M. Burghoff, E. Chanel, Z. Chowdhuri, P.-J. Chiu, B. Clement, C.B. Crawford, M. Daum, S. Emmenegger, L. Ferraris-Bouchez, M. Fertl, P. Flaux, B. Franke, A. Fratangelo, P. Geltenbort, K. Green, W.C. Griffith, M. van der Grinten, Z.D. Grujić, P.G. Harris, L. Hayen, W. Heil, R. Henneck, V. Hélaine, N. Hild, Z. Hodge, M. Horras, P. Iaydjiev, S.N. Ivanov, M. Kasprzak, Y. Kermaidic, K. Kirch, A. Knecht, P. Knowles, H.-C. Koch, P.A. Koss, S. Komposch, A. Kozela, A. Kraft, J. Krempel, M. Kuźniak, B. Lauss, T. Lefort, Y. Lemière, A. Leredde, P. Mohanmurthy, A. Mtchedlishvili, M. Musgrave, O. Naviliat-Cuncic, D. Pais, F.M. Piegsa, E. Pierre, G. Pignol, C. Plonka-Spehr, P.N. Prashanth, G. Quéméner, M. Rawlik, D. Rebreyend, I. Rienäcker, D. Ries, S. Roccia, G. Rogel, D. Rozpedzik, A. Schnabel, P. Schmidt-Wellenburg, N. Severijns, D. Shiers, R. Tavakoli Dinani, J.A. Thorne, R. Virot, J. Voigt, A. Weis, E. Wursten, G. Wyszynski, J. Zejma, J. Zenner, G. Zsigmond",Measurement of the permanent electric dipole moment of the neutron,"Phys. Rev. Lett. 124, 081803, 2020",doi: 10.1103/PhysRevLett.124.081803,https://doi.org/10.1103/PhysRevLett.124.081803,,
1,redshift,2020-02-25,"DES Collaboration: Tim Abbott, Michel Aguena, Alex Alarcon, Sahar Allam, Steve Allen, James Annis, Santiago Avila, David Bacon, Alberto Bermeo, Gary Bernstein, Emmanuel Bertin, Sunayana Bhargava, Sebastian Bocquet, David Brooks, Dillon Brout, Elizabeth Buckley-Geer, David Burke, Aurelio Carnero Rosell, Matias Carrasco Kind, Jorge Carretero, Francisco Javier Castander, Ross Cawthon, Chihway Chang, Xinyi Chen, Ami Choi, Matteo Costanzi, Martin Crocce, Luiz da Costa, Tamara Davis, Juan De Vicente, Joseph DeRose, Shantanu Desai, H. Thomas Diehl, Jörg Dietrich, Scott Dodelson, Peter Doel, Alex Drlica-Wagner, Kathleen Eckert, Tim Eifler, Jack Elvin-Poole, Juan Estrada, Spencer Everett, August Evrard, Arya Farahi, Ismael Ferrero, Brenna Flaugher, Pablo Fosalba, Josh Frieman, Juan Garcia-Bellido, Marco Gatti, Enrique Gaztanaga, David Gerdes, Tommaso Giannantonio, Paul Giles, Sebastian Grandis, Daniel Gruen, Robert Gruendl, Julia Gschwend, Gaston Gutierrez, Will Hartley, Samuel Hinton, Devon L. Hollowood, Klaus Honscheid, Ben Hoyle, Dragan Huterer, David James, Mike Jarvis, Tesla Jeltema, Margaret Johnson, Stephen Kent, Elisabeth Krause, Richard Kron, Kyler Kuehn, Nikolay Kuropatkin, Ofer Lahav, Ting Li, Christopher Lidman, Marcos Lima, Huan Lin, Niall MacCrann, Marcio Maia, Adam Mantz, Jennifer Marshall, Paul Martini, Julian Mayers, Peter Melchior, Juan Mena, Felipe Menanteau, Ramon Miquel, Joe Mohr, Robert Nichol, Brian Nord, Ricardo Ogando, Antonella Palmese, Francisco Paz-Chinchon, Andrés Plazas Malagón, Judit Prat, Markus Michael Rau, Kathy Romer , Aaron Roodman, Philip Rooney, Eduardo Rozo, Eli Rykoff, Masao Sako, Simon Samuroff, Carles Sanchez, Alexandro Saro, Vic Scarpine, Michael Schubnell, Daniel Scolnic, Santiago Serrano, Ignacio Sevilla, Erin Sheldon, J. Allyn Smith, Eric Suchyta, Molly Swanson, Gregory Tarle, Daniel Thomas, Chun-Hao To, Michael A. Troxel, Douglas Tucker, Tamas Norbert Varga, Anja von der Linden, Alistair Walker, Risa Wechsler, Jochen Weller, Reese Wilkinson, Hao-Yi Wu, Brian Yanny, Zhuowen Zhang, Joe Zuntz","DES Collaboration: T. Abbott, M. Aguena, A. Alarcon, S. Allam, S. Allen, J. Annis, S. Avila, D. Bacon, A. Bermeo, G. Bernstein, E. Bertin, S. Bhargava, S. Bocquet, D. Brooks, D. Brout, E. Buckley-Geer, D. Burke, A. Carnero R., M. Carrasco Kind, J. Carretero, F.J. Castander, R. Cawthon, C. Chang, X. Chen, A. Choi, M. Costanzi, M. Crocce, L. da Costa, T. Davis, J. De Vicente, J. DeRose, S. Desai, H.T. Diehl, J. Dietrich, S. Dodelson, P. Doel, A. Drlica-Wagner, K. Eckert, T. Eifler, J. Elvin-Poole, J. Estrada, S. Everett, A. Evrard, A. Farahi, I. Ferrero, B. Flaugher, P. Fosalba, J. Frieman, J. Garcia-Bellido, M. Gatti, E. Gaztanaga, D. Gerdes, T. Giannantonio, P. Giles, S. Grandis, D. Gruen, R. Gruendl, J. Gschwend, G. Gutierrez, W. Hartley, S. Hinton, D.L. Hollowood, K. Honscheid, B. Hoyle, D. Huterer, D. James, M. Jarvis, T. Jeltema, M. Johnson, S. Kent, E. Krause, R. Kron, K. Kuehn, N. Kuropatkin, O. Lahav, T. Li, C. Lidman, M. Lima, H. Lin, N. MacCrann, M. Maia, A. Mantz, J. Marshall, P. Martini, J. Mayers, P. Melchior, J. Mena, F. Menanteau, R. Miquel, J. Mohr, R. Nichol, B. Nord, R. Ogando, A. Palmese, F. Paz-Chinchon, A. Plazas Malagón, J. Prat, M.M. Rau, K. Romer , A. Roodman, P. Rooney, E. Rozo, E. Rykoff, M. Sako, S. Samuroff, C. Sanchez, A. Saro, V. Scarpine, M. Schubnell, D. Scolnic, S. Serrano, I. Sevilla, E. Sheldon, J.A. Smith, E. Suchyta, M. Swanson, G. Tarle, D. Thomas, C.-H. To, M.A. Troxel, D. Tucker, T.N. Varga, A. von der Linden, A. Walker, R. Wechsler, J. Weller, R. Wilkinson, H.-Y. Wu, B. Yanny, Z. Zhang, J. Zuntz",Dark Energy Survey Year 1 Results: Cosmological Constraints from Cluster Abundances and Weak Lensing,arXiv:2002.11124,arXiv:2002.11124,https://arxiv.org/abs/2002.11124,,
5,old-systems,2020-02-05,"Ben Forrest, Marianna Annunziatella, Gillian Wilson, Danilo Marchesini, Adam Muzzin, M. C. Cooper, Z. Cemile Marsan, Ian McConachie, Jeffrey C. C. Chan, Percy Gomez, Erin Kado-Fong, Francesco La Barbera, Ivo Labbé, Daniel Lange-Vagle, Julie Nantais, Mario Nonino, Theodore Peña, Paolo Saracco, Mauro Stefanon, Remco F. J. van der Burg","B. Forrest, M. Annunziatella, G. Wilson, D. Marchesini, A. Muzzin, M.C. Cooper, Z. Cemile Marsan, I. McConachie, J.C.C. Chan, P. Gomez, E. Kado-Fong, F. La Barbera, I. Labbé, D. Lange-Vagle, J. Nantais, M. Nonino, T. Peña, P. Saracco, M. Stefanon, R.F.J. van der Burg",An Extremely Massive Quiescent Galaxy at z=3.493: Evidence of Insufficiently Rapid Quenching Mechanisms in Theoretical Models,"The Astrophysical Journal Letters 890, Number 1, 2020",doi: 10.3847/2041-8213/ab5b9f,https://doi.org/10.3847/2041-8213/ab5b9f,arXiv:1910.10158,https://arxiv.org/abs/1910.10158
1,redshift,2019-11-14,"Mohamed Rameez, Subir Sarkar","M. Rameez, S. Sarkar",Is there really a `Hubble tension'?,arXiv:1911.06456,arXiv:1911.06456,https://arxiv.org/abs/1911.06456,,
4,galaxy and structure formation,2011-11-23,"P.P. Ponente, J.M. Diego","P.P. Ponente, J.M. Diego",Systematics in lensing reconstruction: dark matter rings in the sky?,"A&A 535, A119, November 2011",doi: 10.1051/0004-6361/201117382,https://doi.org/10.1051/0004-6361/201117382,arXiv:1110.3979,https://arxiv.org/abs/1110.3979
